bookID,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
9018,Long Walk to Freedom: Autobiography of Nelson Mandela,Nelson Mandela,4.33,eng,6,79,16,12/01/2004,Little  Brown & Company
10474,The Discomfort Zone: A Personal Journey,Jonathan Franzen,3.4,eng,6,43,15,8/28/2006,HighBridge Company
16329,Dead Man's Folly (Hercule Poirot  #33),Agatha Christie,3.79,eng,6,12256,393,09/08/2006,BBC Audiobooks
16398,Thank You  Jeeves,P.G. Wodehouse,4.24,eng,6,66,23,5/26/2005,AudioGO
19093,Middlemarch,George Eliot,3.96,eng,6,50,14,1/28/2003,Penguin Audio UK
21751,The Enemy (Jack Reacher  #8),Lee Child,4.16,eng,6,10,3,4/28/2007,Brilliance Audio
21874,The Last Kingdom (The Saxon Stories  #1),Bernard Cornwell,4.25,eng,6,16,1,7/25/2006,HarperAudio
21906,The Last Kingdom (The Saxon Stories  #1),Bernard Cornwell,4.25,eng,6,39,9,1/25/2005,HarperAudio
30639,Mere Christianity: Abolition of Man (Bonus Feature),C.S. Lewis,4.32,eng,6,43,6,05/01/2006,Blackstone Audiobooks
40360,Metro Girl (Alex Barnaby  #1),Janet Evanovich,3.62,eng,6,79,29,7/25/2006,HarperAudio
40379,The Warlord of Mars (Barsoom  #3),Edgar Rice Burroughs,3.86,eng,6,9350,345,02/01/2001,Tantor Media
43010,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,eng,6,614,119,12/01/2006,Recorded Books
45465,Artemis Fowl (Artemis Fowl  #1),Eoin Colfer,3.84,eng,6,55,14,04/06/2004,Listening Library
8249,These Happy Golden Years (Little House  #8),Laura Ingalls Wilder,4.19,eng,7,105,12,3/28/2006,HarperFestival
18019,The Code of the Woosters: Jeeves to the Rescue,P.G. Wodehouse,4.36,eng,7,172,26,09/07/2006,AudioGO
18022,Jeeves and the Mating Season (Jeeves  #9),P.G. Wodehouse,4.26,eng,7,109,22,04/07/2003,AudioGO
21425,3rd Degree,James Patterson,4.02,eng,7,76,9,03/01/2004,Hachette Audio
26973,Their Eyes Were Watching God,Zora Neale Hurston,3.91,eng,7,421,99,11/23/2004,Caedmon
37573,They Do It With Mirrors,Agatha Christie,3.76,eng,7,2,0,11/08/2002,MacMillan Audio
3574,Anne of Avonlea,L.M. Montgomery,4.23,eng,8,63,8,12/01/1998,Blackstone Audiobooks
3875,The Sun Also Rises,Ernest Hemingway,3.82,eng,8,302,69,10/17/2006,Simon  Schuster Audio
10796,A Farewell to Arms,Ernest Hemingway,3.8,eng,8,290,65,05/01/2006,Simon  Schuster Audio
12254,The Iliad,Homer,3.86,eng,8,42,7,6/15/2006,Penguin-HighBridge
16330,Poirot's Early Cases: 18 Hercule Poirot Mysteries (Hercule Poirot  #41),Agatha Christie,3.92,eng,8,5473,144,7/26/2005,AudioGO
21430,The Big Bad Wolf,James Patterson,3.99,eng,8,101,13,11/01/2003,Little  Brown & Company
23293,Dubliners,James Joyce,3.85,eng,8,53,11,05/10/2005,Caedmon
24873,Dragonflight (Pern: Dragonriders of Pern  #1),Anne McCaffrey,4.1,eng,8,118,20,9/25/2005,Brilliance Audio
37877,Mandala Sand Art Kit,Walter Foster Creative Team,1,eng,8,1,0,01/01/2004,Walter Foster Publishing
45485,The Subtle Knife (His Dark Materials  #2),Philip Pullman,4.13,eng,8,39,8,1/28/2000,Listening Library
6925,Welcome to the Monkey House,Kurt Vonnegut Jr.,4.15,eng,9,61,11,5/23/2006,Caedmon
8134,Anne of Green Gables,L.M. Montgomery,4.25,eng,9,69,17,01/01/2005,Recorded Books  Inc.
13076,A Carl Hiaasen Collection: Stormy Weather  Tourist Season  and  Strip Tease,Carl Hiaasen,4.45,eng,9,44,1,01/04/2000,Random House Audio
16425,The Labours of Hercules (Hercule Poirot  #27),Agatha Christie,3.78,eng,9,11167,297,7/13/2005,AudioGO
17179,The Sound and the Fury,William Faulkner,3.86,eng,9,138,37,07/06/2005,Random House Audio
17344,Till We Have Faces: A Myth Retold,C.S. Lewis,4.19,eng,9,60,17,09/01/2000,Blackstone Publishing
21370,The Good Guy,Dean Koontz,3.82,eng,9,115,24,5/29/2007,Random House Audio Publishing Group
21535,Angels Flight (Harry Bosch  #6),Michael Connelly,4.18,eng,9,106,20,7/25/2005,Brilliance Audio
32664,The Stephen King Collection: Stories from Night Shift,Stephen King,4,eng,9,662,23,05/02/2000,Random House Audio
43780,Vampire Chronicles: Interview with the Vampire  The Vampire Lestat  The Queen of the Damned (Anne Rice),Anne Rice,4.27,eng,9,10350,120,11/17/1992,Random House Audio
44979,Howards End,E.M. Forster,3.96,eng,9,32,16,06/01/2007,Blackstone Audiobooks
6339,Never Let Me Go,Kazuo Ishiguro,3.82,eng,10,323,120,04/12/2005,Books on Tape
7037,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),Alexander McCall Smith,4.08,eng,10,133,23,03/02/2005,Recorded Books  Inc.
8630,The Ionian Mission (Aubrey/Maturin  #8),Patrick O'Brian,4.32,eng,10,3659,80,10/01/2005,Blackstone Audiobooks
8773,Violet's House: A Giant Touch-and-Feel Book (Baby Einstein),Julie Aigner-Clark,4,eng,10,39,7,11/01/2003,Disney Press
21527,Hollywood Tough (Shane Scully  #3),Stephen J. Cannell,3.86,eng,10,825,49,01/07/2003,Macmillan Audio
24198,The Boys Start the War  the Girls Get Even,Phyllis Reynolds Naylor,4.13,eng,10,366,23,06/01/1994,Yearling Books
24268,A World Lit Only by Fire,William Manchester,3.85,eng,10,38,4,03/01/2007,Blackstone Audiobooks
25454,The Glass Castle,Jeannette Walls,4.27,eng,10,14,6,11/01/2005,Recorded Books
29359,Charlie Wilson's War: The Extraordinary Story of the Largest Covert Operation in History,George Crile,4.01,eng,10,24,7,10/01/2005,Blackstone Audiobooks
32609,Guilty as Charged,Scott Turow,3.76,eng,10,149,2,10/01/1996,Pocket Books
41652,The Boy Who Turned Into a TV Set,Stephen Manes,4,eng,10,8,3,02/01/1984,Avon Books
42579,Water  Water Everywhere: A Splash & Giggle Bath Book (Baby Einstein),Julie Aigner-Clark,3.71,eng,10,79,10,09/01/2003,Hyperion Books for Children
43819,Anne Rice Value Collection: Mayfair Witches (Lives of the Mayfair Witches #1-3),Anne Rice,4.23,eng,10,35,3,11/07/2000,Random House Audio Publishing Group
2655,To Kill a Mockingbird,Harper Lee,4.27,eng,11,697,180,8/22/2006,Caedmon
6540,Trace (Kay Scarpetta  #13),Patricia Cornwell,3.78,eng,11,46,8,08/04/2005,Penguin Audio
10586,The Stephen King Collection: Stories from Night Shift,Stephen King,4,eng,11,56,9,02/08/2005,Random House Audio
21353,Odd Thomas (Odd Thomas #1),Dean Koontz,3.97,eng,11,106,32,12/09/2003,Random House Audio Publishing Group
21530,Cold Hit (Shane Scully #5),Stephen J. Cannell,3.85,eng,11,15,6,08/01/2005,Macmillan Audio
21539,Echo Park (Harry Bosch  #12; Harry Bosch Universe  #16),Michael Connelly,4.12,eng,11,174,35,10/09/2006,Little  Brown & Company
35975,Bonesetter's Daughter,Amy Tan,3.99,eng,11,177,49,01/01/2006,Phoenix Audio
7608,Lolita,Vladimir Nabokov,3.89,eng,12,787,239,4/26/2005,Random House Audio
8770,My First Word Touch and Feel,Anne Millard,3.79,eng,12,24,6,9/19/2001,DK Children
17279,The Feynman Lectures on Physics Vols 5-6,Richard P. Feynman,4.59,eng,12,22,0,11/03/2004,Basic Books
17295,Birthday Machine (Disney's Little Einsteins Early Reader),Susan Ring,4.29,eng,12,21,2,09/01/2006,Disney Press
21362,Seize the Night (Moonlight Bay  #2),Dean Koontz,4.08,eng,12,23534,390,12/29/1998,Random House Audio Publishing Group
21536,The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1),Michael Connelly,4.1,eng,12,209,54,11/25/2006,Brilliance Audio
21538,The Closers (Harry Bosch  #11; Harry Bosch Universe  #14),Michael Connelly,4.13,eng,12,198,28,05/01/2005,Hachette Audio
21544,The Concrete Blonde (Harry Bosch  #3),Michael Connelly,4.16,eng,12,132,28,5/25/2005,Brilliance Audio
21747,One Shot (Jack Reacher  #9),Lee Child,4.21,eng,12,138,26,6/14/2005,Brilliance Audio
21980,Tyrannosaur Canyon,Douglas Preston,3.8,eng,12,79,18,8/23/2005,MacMillan Audio
24215,Alice's Adventures in Wonderland: A Pop-Up Adaptation,Robert Sabuda,4.33,eng,12,21875,111,10/01/2003,Little Simon
24432,Trickster's Choice (Daughter of the Lioness  #1),Tamora Pierce,4.27,eng,12,74,20,12/13/2005,Listening Library
34227,A Reader's Digest Songbook: Remembering Yesterday's Hits,William L. Simon,4.38,eng,12,13,0,10/01/1987,Reader's Digest Association
41559,Peek-a-Boo! (Babyfaces),Roberta Grobel Intrater,3.69,eng,12,111,11,10/01/1997,Cartwheel
4944,The Very Hungry Caterpillar,Eric Carle,4.29,eng,13,3945,262,3/23/1994,Philomel Books
7972,Shadow of the Hegemon (Shadow  #2),Orson Scott Card,3.95,eng,13,109,19,09/05/2006,Macmillan Audio
19503,Eat  Pray  Love: One Woman's Search for Everything Across Italy  India and Indonesia,Elizabeth Gilbert,3.55,eng,13,112,41,09/01/2006,Books on Tape
21534,Trunk Music (Harry Bosch  #5; Harry Bosch Universe  #6),Michael Connelly,4.18,eng,13,126,26,11/28/2006,Brilliance Audio
21749,Bad Luck and Trouble (Jack Reacher  #11),Lee Child,4.18,eng,13,53,15,5/15/2007,Random House Audio
21895,The Last Kingdom (The Saxon Stories  #1),Bernard Cornwell,4.25,eng,13,48,19,02/01/2005,Audiogo
41908,Harry Potter und der Gefangene von Askaban (Harry Potter  #3),J.K. Rowling,4.56,ger,13,313,8,8/31/2002,Dhv der Hörverlag
44470,The Killer Angels,Michael Shaara,4.32,eng,13,92,37,05/11/2004,Random House Audio Publishing Group
68,The Known World,Edward P. Jones,3.83,eng,14,55,12,6/15/2004,HarperAudio
4600,Moo  Baa  La La La!,Sandra Boynton,4.2,eng,14,28925,527,09/06/2004,Simon & Schuster Childrens Books
13238,Lewis Carroll's Jabberwocky: A Book of Brillig Dioramas,Lewis Carroll,4.14,eng,14,31,2,3/30/1996,Harry N. Abrams
18888,Mistress of Magic (The Mists of Avalon  #1),Marion Zimmer Bradley,4.12,eng,14,12,4,04/01/1993,Recorded Books
21735,The Enemy (Jack Reacher  #8),Lee Child,4.16,eng,14,178,35,05/11/2004,Brilliance Audio
21745,Without Fail (Jack Reacher  #6),Lee Child,4.15,eng,14,64395,1617,5/17/2002,Brilliance Audio
21746,The Enemy (Jack Reacher  #8),Lee Child,4.16,eng,14,4,0,05/11/2004,Brilliance Audio
21752,The Visitor (Jack Reacher  #4),Lee Child,4.09,eng,14,7,1,05/01/2002,Soundings
21756,Tripwire (Jack Reacher  #3),Lee Child,4.09,eng,14,3,1,11/25/2004,Brilliance Audio
21758,The Enemy (Jack Reacher  #8),Lee Child,4.16,eng,14,3,2,06/10/2004,Brilliance Audio
21759,Tripwire (Jack Reacher  #3),Lee Child,4.09,eng,14,11,1,11/25/2004,Brilliance Audio
21763,Tripwire (Jack Reacher  #3),Lee Child,4.09,eng,14,18,4,11/25/2004,Brilliance Audio
21764,The Enemy (Jack Reacher  #8),Lee Child,4.16,eng,14,1,0,06/10/2004,Brilliance Audio
22292,Haunted,Chuck Palahniuk,3.59,eng,14,57,23,05/10/2005,Random House Audio
23377,Where Is Baby's Mommy? (A Lift-the-Flap Book),Karen Katz,4.15,eng,14,434,28,04/01/2001,Little Simon
2289,In Cold Blood,Truman Capote,4.07,eng,15,563,133,01/03/2006,Random House Audio
14930,Emma,Jane Austen,4,eng,15,28,3,05/05/2006,Audio Partners
15369,The Lord of the Rings,J.R.R. Tolkien,4.5,eng,15,2,0,10/06/2003,BBC Audiobooks
15817,House of Sand and Fog,Andre Dubus III,3.85,eng,15,108,19,01/01/1999,Recorded Books
17241,Dracula,Bram Stoker,3.99,eng,15,53,12,12/01/1998,Blackstone Audiobooks
21543,The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),Michael Connelly,4.2,eng,15,115,33,6/25/2006,Brilliance Audio
21739,The Visitor (Jack Reacher  #4),Lee Child,4.09,eng,15,4,0,10/01/2004,Soundings
4938,The Brothers Karamazov,Fyodor Dostoyevsky,4.32,eng,16,20,2,05/01/2005,Hovel Audio
9796,A Walk in the Woods (Stickerific),Walt Disney Company,3.5,eng,16,8,0,1/23/2001,Golden/Disney
10593,The Shining,Stephen King,4.22,eng,16,357,107,08/02/2005,Simon & Schuster Audio
10760,Sword and Shield,John Terra,4,eng,16,5,1,09/01/1992,TSR Inc.
14378,Sweet Dreams  Mimi (Baby Einstein),Julie Aigner-Clark,3.13,eng,16,37,3,04/01/2004,Disney Press
19322,The Tale of Peter Rabbit: A Pop-up Adventure,Beatrix Potter,4.18,eng,16,19,2,02/02/2006,Warne
22438,The Fabric of the Cosmos: Space  Time and the Texture of Reality,Brian Greene,4.11,eng,16,19,5,2/24/2004,Books on Tape
23410,Pimsleur German Level 1 CD: [Lessons 1-30],Pimsleur Language Programs,4.23,eng,16,58,10,04/01/2010,Pimsleur
28850,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,eng,16,3529,171,7/23/2001,Recorded Books  Inc.
37058,The Brothers Karamazov,Fyodor Dostoyevsky,4.32,eng,16,3,1,05/01/2005,Hovel Audio
5414,'Salem's Lot,Stephen King,4.02,eng,17,227,54,1/19/2004,Simon & Schuster Audio
43675,First Deadly Sin,Lawrence Sanders,4.04,eng,17,2,0,07/01/1989,Random House Audio
966,Angeles & Demonios,Dan Brown,3.89,spa,18,65,7,12/01/2005,FonoLibro
12964,Much Ado about Nothing,William Shakespeare,4.07,eng,18,38,7,11/30/2005,BBC Audiobooks America
17289,Galactic Goodnight (Disney's Little Einsteins),Susan Ring,4.42,eng,20,12,2,09/01/2006,Disney Press
17293,Babies (Baby Einstein),Julie Aigner-Clark,4,eng,20,31,2,04/02/2002,Disney Press
27877,Savage Stone Age Sticker Book (Horrible Histories),Terry Deary,4,eng,20,9,0,8/19/2005,Scholastic
7769,Dr. Seuss's ABC,Dr. Seuss,4.08,eng,21,27139,731,11/26/1996,Random House
45549,Undaunted Courage,Stephen E. Ambrose,4.21,eng,22,8,2,03/08/2005,Books on Tape
5321,My First Story of Christmas,Tim Dowley,4.07,eng,24,10,1,09/01/2004,Moody Publishers
5322,The Christmas Story,Jane Werner Watson,4.43,eng,24,1304,32,08/01/2000,Golden Books
8771,When I Feel Angry,Nancy Cote,3.98,eng,24,113,4,01/01/2000,Albert Whitman  Company
9186,Angelina's Ballet Class,Katharine Holabird,3.88,eng,24,73,1,1/19/2006,Grosset & Dunlap
10329,Dumpy's Valentine,Julie Andrews Edwards,3.31,eng,24,22,4,12/12/2006,Julie Andrews Collection
10561,The Three Musketeers,Alexandre Dumas,4.07,eng,24,54,11,7/25/2005,Brilliance Audio
14118,Disney's Beauty and the Beast (A Little Golden Book),Teddy Slater,4.41,eng,24,28824,132,05/11/2004,Golden/Disney
16961,Alberic the Wise,Norton Juster,3.73,eng,24,103,9,09/01/1992,Picture Book Studio Ltd
17292,Mission: Where's June? (Disney's Little Einstein),Susan Ring,4.5,eng,24,12,1,04/05/2006,Disney Press
20962,Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4,Arthur Yorinks,2.75,eng,24,4,1,04/05/2004,Volo
25457,The Little Baby Snoogle-Fleejer,Jimmy Carter,3.17,eng,24,42,11,11/21/1995,Crown
27356,Black Meets White,Justine Korman Fontes,3.5,eng,24,50,11,07/12/2005,Candlewick Press
30236,The Little Butterfly,Sherry Shahan,4.03,eng,24,17,6,4/14/1998,Random House Books for Young Readers
31314,Barnyard Dance,Sandra Boynton,4.25,eng,24,21265,480,10/01/1993,Workman Publishing Company
33046,Ve  perro ¡Ve!,P.D. Eastman,4.09,spa,24,33,2,2/25/2003,Random House Para Ninos
36853,Tyrannosaurus Wrecks (Stanley  #1),Laura Driscoll,5,eng,24,2,1,02/01/2003,Disney Press
36859,Bailando al rescate (Dora La Exploradora),Dave Aikins,3.47,spa,24,2,0,09/01/2005,Libros para ninos
37905,Dr. Seuss (First Biographies),Cheryl Carlson,4.33,eng,24,14,1,01/01/2005,Capstone Press
38674,Walt Disney's Peter Pan (A Little Golden Book),Walt Disney Company,4.39,eng,24,5661,87,1/23/2007,Golden/Disney
42278,I Can Fly,Ruth Krauss,4.24,eng,24,1069,70,09/09/2003,Golden Books
2386,Moby Dick,Herman Melville,3.5,eng,25,67,17,09/01/2005,Naxos Audiobooks
9072,The Historian,Elizabeth Kostova,3.78,eng,26,354,135,12/13/2005,Books on Tape
45325,Joseph Cornell: Secrets in a Box (Adventures in Art),Alison Baverstock,4.03,eng,27,32,5,09/01/2003,Prestel Publishing
7615,Farm Animals (A Chunky Book),Phoebe Dunn,3.86,eng,28,35,4,02/12/1984,Random House Books for Young Readers
17296,Music of the Meadow (Little Einsteins Early Reader),Susan Ring,3.7,eng,28,26,1,09/01/2006,Disney Press
3051,Sir Gawain and the Green Knight,Selina Shirley Hastings,3.91,eng,29,65,9,6/27/1991,Walker Books Ltd
44849,Code Check Electrical: An Illustrated Guide to Wiring a Safe House,Michael      Casey,4.67,eng,29,3,0,11/11/2005,Taunton Press
4601,Click  Clack  Moo: Cows That Type,Doreen Cronin,4.24,eng,30,348,33,06/01/2003,Pocket Books
6466,George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Little Books of Wisdom),George Washington,4.08,eng,30,835,113,08/01/1989,Applewood Books
26216,Patrick: Patron Saint of Ireland,Tomie dePaola,4.08,eng,30,89,5,01/01/1992,Holiday House
11130,The Chronicles of Narnia CD Box Set,C.S. Lewis,4.26,eng,31,202,24,10/26/2004,HarperFestival
17747,The Cognitive Style of PowerPoint: Pitching Out Corrupts Within,Edward R. Tufte,4.08,eng,31,924,65,01/01/2006,Graphics Press
19106,The Nose,Nikolai Gogol,3.89,eng,31,12968,446,9/29/1994,HarperCollins Publishers
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng,32,15,0,01/01/2002,Teaching Resources
397,The Gettysburg Address,Abraham Lincoln,4.53,eng,32,5239,76,02/02/1998,HMH Books for Young Readers
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley,4.08,eng,32,1773,274,04/01/2005,Walker & Company
2257,Secret of the Peaceful Warrior,Dan Millman,4.15,eng,32,156,13,12/28/1992,HJ Kramer
2718,Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan,4.2,eng,32,1178,173,11/01/2003,Simon  Schuster Books for Young Readers
